k/beta,P(k/beta)
0.015246957270175738,0.0002461811568235051
0.015352750287804227,0.00025133154854261144
0.015459277364194777,0.00025658955418014876
0.01556654359271062,0.00026195741740050327
0.01567455410205595,0.0002674374284761167
0.015783314056521173,0.00027303192524961404
0.01589282865622978,0.00027874329411542713
0.01600310313738701,0.00028457397102286914
0.016114142772530198,0.0002905264424966492
0.016225952870780873,0.0002966032466759267
0.016338538778098613,0.0003028069743999988
0.016451905877536626,0.00030914027026233325
0.016566059589499145,0.00031560583374021586
0.016681005372000592,0.0003222064203203605
0.01679674872092653,0.0003289448426527811
0.01691329517029648,0.0003358239717282531
0.017030650292528444,0.0003428467380777358
0.017148819698705402,0.00035001613300577217
0.01726780903884356,0.0003573352098298123
0.017387624002162504,0.0003648070851638982
0.017508270317357244,0.0003724349402188299
0.017629753752872058,0.00038022202213056484
0.017752080117176352,0.00038817164531575416
0.017875255259042353,0.0003962871928544905
0.017999285067824763,0.00040457211790139916
0.018124175473742368,0.0004130299451250499
0.018249932448161525,0.00042166427217400895
0.018376562003881713,0.00043047877118589784
0.018504070195423022,0.00043947719030019137
0.018632463119315597,0.00044866335522836265
0.018761746914391204,0.00045804117084249934
0.018891927762076665,0.000467614622798482
0.019023011886689447,0.0004773877791921146
0.01915500555573528,0.00048736479224853273
0.019287915080207777,0.0004975499000458083
0.019421746814890256,0.0005079474282731649
0.019556507158659493,0.0005185617920247227
0.019692202554791725,0.0005293974976278953
0.019828839491270712,0.0005404591445154107
0.019966424501097934,0.0005517514271214619
0.02010496416260498,0.000563279136829376
0.020244465099768037,0.0005750471639517315
0.020384933982524632,0.0005870604997516137
0.02052637752709252,0.0005993242385029119
0.02066880249629082,0.0006118435795986755
0.02081221569986338,0.0006246238296878834
0.02095662399480433,0.000637670404871086
0.021102034285685956,0.0006509888329275178
0.02124845352498883,0.0006645847555938833
0.021395888713434216,0.0006784639308858077
0.021544346900318832,0.0006926322354661968
0.021693835183851845,0.0007070956670607454
0.021844360711494273,0.0007218603469217312
0.021995930680300747,0.0007369325223407733
0.022148552337263594,0.0007523185692117377
0.022302232979659376,0.0007680249946444232
0.02245697995539774,0.0007840584396303766
0.022612800663372783,0.0008004256817615054
0.0227697025538168,0.0008171336379771486
0.022927693128656487,0.0008341893674937077
0.023086779941871687,0.0008516000745356225
0.02324697059985648,0.0008693731113774457
0.023408272761782933,0.0008875159813173774
0.023570694139967277,0.000906036341735406
0.023734242500238662,0.0009249420072116341
0.023898925662310503,0.00094424095270633
0.024064751500154243,0.00096394131680247
0.024231727942375995,0.0009840514050122036
0.024399862972595502,0.0010045796931483892
0.024569164629827903,0.0010255348307621546
0.024739641008868142,0.0010469256446482026
0.024911300260677886,0.0010687611424191072
0.025084150592775398,0.0010910505161459173
0.025258200269627846,0.001113803146084619
0.025433457613046495,0.0011370286044480279
0.025609931002584595,0.0011607366592782415
0.02578762887593801,0.001184937278381296
0.02596655972934871,0.0012096406333395114
0.02614673211801092,0.0012348571036102914
0.026328154656480213,0.0012605972806869247
0.02651083601908539,0.0012868719723617395
0.02669478494034321,0.0013136922070540692
0.02688001021537606,0.0013410692382332687
0.027066520700332414,0.0013690145489225966
0.02725432531281029,0.00139753985629107
0.027443433032283655,0.0014266571163341017
0.027633852900531698,0.0014563785286442284
0.027825594022071243,0.0014867165412738319
0.028018665564591955,0.001517683855691357
0.02821307675939472,0.0015492934318327614
0.028408836901833042,0.0015815584932492306
0.02860595535175742,0.0016144925323563358
0.028804441533962964,0.0016481093157782857
0.029004304938639917,0.0016824228897988366
0.029205555121827466,0.0017174475859152378
0.029408201705870638,0.0017531980264966615
0.029612254379880344,0.0017896891305513758
0.029817722900196717,0.0018269361196028078
0.030024617090855493,0.0018649545236775705
0.03023294684405778,0.0019037601874064712
0.03044272212064303,0.0019433692762409309
0.030653952950565267,0.0019837982827867503
0.03086664943337273,0.002025064033257198
0.031080821738690638,0.0020671836940474296
0.03129648010670752,0.00211017477843516
0.03151363484866479,0.0021540551533882927
0.03173229634734976,0.002198843046550819
0.03195247505759212,0.002244557053286239
0.03217418150676372,0.002291216143909888
0.03239742629528197,0.002338839671032303
0.0326222200971167,0.0023874473770430314
0.03284857366030044,0.0024370594017323584
0.03307649780744241,0.0024876962900549143
0.03330600343624589,0.002539379000036118
0.033537101520029304,0.0025921289108245833
0.033769803108250916,0.002645967830879363
0.03400411932703706,0.002700918006377577
0.03424006137971424,0.0027570021296197448
0.03447764054734464,0.002814243347771683
0.034716868189265615,0.00287266527164849
0.03495775574363275,0.002932291984694991
0.03520031472796679,0.0029931480521270862
0.035444556739704355,0.0030552585302368288
0.0356904934567523,0.0031186489758658485
0.03593813663804628,0.003183345456049388
0.0361874981241128,0.0032493745578336753
0.03643858983763545,0.0033167633982690695
0.03669142378402494,0.0033855396345820114
0.03694601205199302,0.0034557314745280792
0.03720236681413068,0.0035273676869292288
0.03746050032748993,0.0036004776123978797
0.03772042493416997,0.003675091174250266
0.037982153061907366,0.0037512388896127013
0.03824569722466999,0.003828951880722483
0.03851107002325571,0.003908261886427045
0.03877828414589457,0.003989201273884128
0.0390473523688556,0.004071803050465499
0.0393182875570577,0.004156100875865964
0.03959110266468459,0.004242129074428649
0.039865810735804405,0.004329922647669486
0.04014242490499322,0.00441951728703022
0.04042095839796306,0.004510949386843265
0.040701424532194386,0.004604256057519064
0.040983836717572615,0.004699475138957119
0.04126820845702954,0.0047966452141869845
0.04155455334718875,0.0048958056232343014
0.041842885079015804,0.004996996477224098
0.04213321743847289,0.005100258672747816
0.04242556430717777,0.005205633906330932
0.04271993966306779,0.005313164689415784
0.04301635758106795,0.005422894363317106
0.043314832233763985,0.00553486711456297
0.04361537789208006,0.005649127990461587
0.04391800892596086,0.00576572291490519
0.044222739805058996,0.005884698704464471
0.044529585099426554,0.0060061030847208974
0.04483855948021186,0.006129984706853249
0.04514967772036102,0.006256393164497353
0.04546295469532399,0.006385379010873435
0.04577840538376619,0.006516993776276912
0.046096044868284336,0.006651289985607816
0.046415888336127774,0.006788321176427111
0.046737951079924636,0.006928141917166768
0.04706224849841281,0.007070807825647746
0.047388796097176535,0.00721637558788289
0.047717609489387455,0.007364902977172916
0.04804870439655129,0.007516448873469871
0.04838209664925957,0.007671073283083048
0.04871780218794631,0.0078288373586198
0.04905583706365048,0.007989803419275979
0.04939621743878321,0.008154034971392587
